"fraud_pattern","metric","y_2022","y_2023","y_2024","avg_pct_change","avg_change_trend","business_interpretation"
"account_takeover","attacks","1151","1077","1204","2.7","Increasing YoY","📈 Attack volume growing"
"account_takeover","avg_attack_size","1277.03","1147.13","1182.57","-3.6","Decreasing YoY","Attacks shrinking in value"
"account_takeover","avg_velocity","3.98","3.94","3.97","-0.1","Decreasing YoY","Attack speed slowing down"
"account_takeover","avg_ip_risk","56.14","56.00","55.56","-0.5","Decreasing YoY","🕵️ Fraud IPs blending in with normal traffic (harder to catch)"
"account_takeover","behavioural_disguise_score","22.195","21.593","22.081","-0.2","Decreasing YoY","🎭 Moving toward customer's normal spend (check if approaching 1.0 = better disguise)"
"account_takeover","pct_bypassing_2fa","57.8","57.6","59.4","1.4","Increasing YoY","🔓 More fraud getting past 2FA — auth control being compromised"
"account_takeover","pct_using_known_device","47.4","40.9","41.7","-5.9","Decreasing YoY","Less fraud from recognized devices"
"atm_fraud","attacks","426","397","393","-3.9","Decreasing YoY","Attack volume shrinking"
"atm_fraud","avg_attack_size","474.56","463.09","460.46","-1.5","Decreasing YoY","Attacks shrinking in value"
"atm_fraud","avg_velocity","4.15","3.90","4.05","-1.1","Decreasing YoY","Attack speed slowing down"
"atm_fraud","avg_ip_risk","55.70","54.58","56.51","0.8","Increasing YoY","Fraud IPs looking more suspicious (easier to catch)"
"atm_fraud","behavioural_disguise_score","8.299","9.233","7.932","-1.4","Decreasing YoY","🎭 Moving toward customer's normal spend (check if approaching 1.0 = better disguise)"
"atm_fraud","pct_bypassing_2fa","58.9","63.2","59.8","1.0","Increasing YoY","🔓 More fraud getting past 2FA — auth control being compromised"
"atm_fraud","pct_using_known_device","47.2","46.9","47.1","-0.1","Decreasing YoY","Less fraud from recognized devices"
"card_not_present","attacks","2028","2022","1932","-2.4","Decreasing YoY","Attack volume shrinking"
"card_not_present","avg_attack_size","780.87","800.68","732.00","-3.1","Decreasing YoY","Attacks shrinking in value"
"card_not_present","avg_velocity","3.98","3.93","4.02","0.5","Increasing YoY","⚡ Attacks executing faster (more transactions packed into each 1h window)"
"card_not_present","avg_ip_risk","54.93","55.50","55.34","0.4","Increasing YoY","Fraud IPs looking more suspicious (easier to catch)"
"card_not_present","behavioural_disguise_score","13.923","14.896","13.087","-2.6","Decreasing YoY","🎭 Moving toward customer's normal spend (check if approaching 1.0 = better disguise)"
"card_not_present","pct_bypassing_2fa","58.7","56.7","57.9","-0.7","Decreasing YoY","2FA increasingly stopping fraud"
"card_not_present","pct_using_known_device","45.7","47.3","45.1","-0.6","Decreasing YoY","Less fraud from recognized devices"
"card_present_stolen","attacks","1054","1014","1052","-0.1","Decreasing YoY","Attack volume shrinking"
"card_present_stolen","avg_attack_size","539.57","553.67","577.19","3.4","Increasing YoY","💰 Attacks growing larger in value"
"card_present_stolen","avg_velocity","3.91","4.03","3.93","0.3","Increasing YoY","⚡ Attacks executing faster (more transactions packed into each 1h window)"
"card_present_stolen","avg_ip_risk","54.97","55.09","54.91","-0.1","Decreasing YoY","🕵️ Fraud IPs blending in with normal traffic (harder to catch)"
"card_present_stolen","behavioural_disguise_score","10.039","9.762","10.156","0.6","Increasing YoY","🎭 Drifting further from customer's normal spend (worth checking which direction — 1.0 is the true camouflage point)"
"card_present_stolen","pct_bypassing_2fa","59.3","59.2","59.7","0.3","Increasing YoY","🔓 More fraud getting past 2FA — auth control being compromised"
"card_present_stolen","pct_using_known_device","43.4","46.0","45.3","2.3","Increasing YoY","📱 More fraud from recognized/trusted devices — device hijacking escalating"
"friendly_fraud","attacks","565","580","581","1.5","Increasing YoY","📈 Attack volume growing"
"friendly_fraud","avg_attack_size","364.19","348.90","345.06","-2.7","Decreasing YoY","Attacks shrinking in value"
"friendly_fraud","avg_velocity","3.87","3.96","3.96","1.2","Increasing YoY","⚡ Attacks executing faster (more transactions packed into each 1h window)"
"friendly_fraud","avg_ip_risk","54.00","55.57","55.14","1.1","Increasing YoY","Fraud IPs looking more suspicious (easier to catch)"
"friendly_fraud","behavioural_disguise_score","6.610","6.060","6.269","-2.5","Decreasing YoY","🎭 Moving toward customer's normal spend (check if approaching 1.0 = better disguise)"
"friendly_fraud","pct_bypassing_2fa","57.9","56.4","58.3","0.4","Increasing YoY","🔓 More fraud getting past 2FA — auth control being compromised"
"friendly_fraud","pct_using_known_device","44.1","42.9","48.4","5.1","Increasing YoY","📱 More fraud from recognized/trusted devices — device hijacking escalating"
"identity_theft","attacks","213","219","224","2.6","Increasing YoY","📈 Attack volume growing"
"identity_theft","avg_attack_size","1226.48","1073.01","1192.07","-0.7","Decreasing YoY","Attacks shrinking in value"
"identity_theft","avg_velocity","3.93","3.91","3.94","0.2","Increasing YoY","⚡ Attacks executing faster (more transactions packed into each 1h window)"
"identity_theft","avg_ip_risk","54.86","55.71","54.85","0.0","No change YoY","No change"
"identity_theft","behavioural_disguise_score","23.319","18.868","20.368","-5.6","Decreasing YoY","🎭 Moving toward customer's normal spend (check if approaching 1.0 = better disguise)"
"identity_theft","pct_bypassing_2fa","54.5","58.0","60.7","5.6","Increasing YoY","🔓 More fraud getting past 2FA — auth control being compromised"
"identity_theft","pct_using_known_device","44.1","48.9","44.6","1.1","Increasing YoY","📱 More fraud from recognized/trusted devices — device hijacking escalating"
"money_laundering","attacks","324","348","339","2.4","Increasing YoY","📈 Attack volume growing"
"money_laundering","avg_attack_size","82.93","101.53","95.63","8.3","Increasing YoY","💰 Attacks growing larger in value"
"money_laundering","avg_velocity","4.07","3.81","4.05","-0.1","Decreasing YoY","Attack speed slowing down"
"money_laundering","avg_ip_risk","57.27","54.98","55.22","-1.8","Decreasing YoY","🕵️ Fraud IPs blending in with normal traffic (harder to catch)"
"money_laundering","behavioural_disguise_score","1.595","1.733","1.488","-2.7","Decreasing YoY","🎭 Moving toward customer's normal spend (check if approaching 1.0 = better disguise)"
"money_laundering","pct_bypassing_2fa","55.2","57.8","54.9","-0.2","Decreasing YoY","2FA increasingly stopping fraud"
"money_laundering","pct_using_known_device","46.0","43.4","46.0","0.2","Increasing YoY","📱 More fraud from recognized/trusted devices — device hijacking escalating"
