"ring_id","seed_account","ring_detected_date","connected_accounts","first_infected_date","last_infected_date","first_replication_speed_days","quarantine_window_days","avg_days_to_spread","response_priority"
"RING0166","ACC0028443","2022-09-05","6","2022-09-09","2024-10-20","4.0","775.8","327.2","CRITICAL - manual response too slow, auto-suppress"
"RING0160","ACC0016973","2022-02-12","7","2022-02-17","2024-12-06","4.4","1027.4","610.8","CRITICAL - manual response too slow, auto-suppress"
"RING0190","ACC0020654","2022-01-13","9","2022-01-18","2024-10-08","5.3","999.3","513.7","CRITICAL - manual response too slow, auto-suppress"
"RING0170","ACC0034028","2022-08-25","5","2022-08-31","2024-11-18","5.5","815.9","433.8","CRITICAL - manual response too slow, auto-suppress"
"RING0075","ACC0034268","2022-02-21","6","2022-02-27","2024-08-16","5.9","906.9","419.1","CRITICAL - manual response too slow, auto-suppress"
"RING0143","ACC0007734","2023-01-26","3","2023-02-02","2024-09-30","6.6","612.9","338.3","CRITICAL - manual response too slow, auto-suppress"
"RING0016","ACC0029626","2022-01-02","5","2022-01-11","2024-11-07","9.3","1039.5","498.8","CRITICAL - manual response too slow, auto-suppress"
"RING0066","ACC0030732","2022-01-18","7","2022-01-27","2024-12-01","9.3","1048.0","558.4","CRITICAL - manual response too slow, auto-suppress"
"RING0125","ACC0010271","2022-01-22","4","2022-01-31","2024-11-19","9.8","1031.8","589.7","CRITICAL - manual response too slow, auto-suppress"
"RING0008","ACC0033247","2022-04-30","6","2022-05-11","2024-10-15","10.8","898.7","441.6","HIGH - fast-track manual review"
"RING0102","ACC0005500","2022-03-21","4","2022-04-01","2024-01-22","11.0","672.1","262.1","HIGH - fast-track manual review"
"RING0017","ACC0016867","2022-11-18","5","2022-11-29","2024-12-16","11.2","758.8","464.2","HIGH - fast-track manual review"
"RING0057","ACC0005567","2022-01-13","10","2022-01-24","2024-06-16","11.4","885.7","382.6","HIGH - fast-track manual review"
"RING0040","ACC0016058","2022-03-13","10","2022-03-25","2024-09-16","12.3","918.1","456.1","HIGH - fast-track manual review"
"RING0002","ACC0004443","2022-01-17","4","2022-01-29","2024-12-24","12.7","1072.8","365.9","HIGH - fast-track manual review"
"RING0010","ACC0047702","2022-02-27","5","2022-03-12","2023-11-25","13.6","635.9","263.9","HIGH - fast-track manual review"
"RING0136","ACC0002858","2022-06-12","5","2022-06-26","2024-09-02","13.6","812.1","465.0","HIGH - fast-track manual review"
"RING0164","ACC0011514","2022-03-17","10","2022-03-30","2024-12-13","13.7","1002.4","463.7","HIGH - fast-track manual review"
"RING0004","ACC0005277","2022-02-02","9","2022-02-15","2024-07-22","13.9","901.6","545.1","HIGH - fast-track manual review"
"RING0074","ACC0013004","2022-01-05","8","2022-01-20","2023-10-16","14.5","648.8","361.6","HIGH - fast-track manual review"
"RING0140","ACC0028527","2022-04-01","6","2022-04-15","2024-12-10","14.8","984.4","422.6","HIGH - fast-track manual review"
"RING0078","ACC0009049","2022-09-28","6","2022-10-13","2024-09-09","15.1","712.6","429.9","HIGH - fast-track manual review"
"RING0121","ACC0046086","2022-06-25","4","2022-07-12","2023-12-01","16.8","523.9","194.2","HIGH - fast-track manual review"
"RING0148","ACC0004443","2022-01-17","10","2022-02-03","2024-12-19","16.9","1067.1","362.0","HIGH - fast-track manual review"
"RING0045","ACC0039850","2022-12-26","6","2023-01-12","2024-08-02","17.8","585.2","306.5","HIGH - fast-track manual review"
"RING0178","ACC0039513","2022-02-09","7","2022-02-27","2024-10-21","18.1","984.9","338.2","HIGH - fast-track manual review"
"RING0172","ACC0034851","2023-03-30","3","2023-04-17","2024-10-01","18.3","551.3","344.0","HIGH - fast-track manual review"
"RING0072","ACC0014725","2022-03-24","10","2022-04-11","2024-08-15","18.4","874.5","480.0","HIGH - fast-track manual review"
"RING0129","ACC0031403","2022-06-24","6","2022-07-13","2024-08-10","18.5","777.7","469.9","HIGH - fast-track manual review"
"RING0073","ACC0026562","2022-07-29","9","2022-08-18","2024-10-22","20.0","816.7","345.4","HIGH - fast-track manual review"
"RING0141","ACC0004617","2022-04-04","8","2022-04-26","2024-12-30","22.2","1001.2","624.5","HIGH - fast-track manual review"
"RING0145","ACC0033148","2022-09-04","9","2022-09-28","2023-11-26","24.2","447.8","270.9","HIGH - fast-track manual review"
"RING0026","ACC0046921","2022-04-29","4","2022-05-23","2023-07-18","24.4","444.6","256.0","HIGH - fast-track manual review"
"RING0105","ACC0047842","2022-01-05","7","2022-01-30","2024-03-25","24.5","809.6","401.1","HIGH - fast-track manual review"
"RING0036","ACC0017833","2022-01-05","9","2022-01-31","2024-11-01","25.8","1030.9","578.9","HIGH - fast-track manual review"
"RING0050","ACC0041112","2022-01-27","9","2022-02-23","2024-12-03","26.7","1041.2","668.5","HIGH - fast-track manual review"
"RING0171","ACC0042039","2022-07-25","8","2022-08-21","2024-11-29","26.9","858.2","428.0","HIGH - fast-track manual review"
"RING0198","ACC0005653","2022-06-19","8","2022-07-16","2024-08-25","27.0","797.3","437.2","HIGH - fast-track manual review"
"RING0089","ACC0037546","2022-01-17","5","2022-02-17","2024-02-17","30.5","760.6","303.9","HIGH - fast-track manual review"
"RING0087","ACC0005078","2022-10-24","4","2022-11-24","2024-12-24","31.7","792.6","526.5","HIGH - fast-track manual review"
"RING0168","ACC0042153","2022-03-12","3","2022-04-14","2024-12-28","32.8","1022.6","576.9","HIGH - fast-track manual review"
"RING0044","ACC0045674","2022-05-19","5","2022-06-21","2024-02-25","33.1","647.8","386.2","HIGH - fast-track manual review"
"RING0116","ACC0009678","2022-05-16","2","2022-06-18","2024-10-01","33.1","868.9","451.0","HIGH - fast-track manual review"
"RING0119","ACC0003720","2022-04-16","6","2022-05-19","2024-12-29","33.9","988.8","501.3","HIGH - fast-track manual review"
"RING0130","ACC0039067","2022-05-26","4","2022-06-29","2024-07-30","34.5","796.2","284.9","HIGH - fast-track manual review"
"RING0187","ACC0041359","2022-03-22","6","2022-04-26","2024-09-13","34.9","906.0","613.0","HIGH - fast-track manual review"
"RING0149","ACC0001510","2022-02-22","5","2022-03-30","2023-10-28","36.0","612.4","437.6","HIGH - fast-track manual review"
"RING0134","ACC0034541","2022-06-07","6","2022-07-13","2024-03-01","36.5","633.3","346.3","HIGH - fast-track manual review"
"RING0030","ACC0049096","2022-02-07","9","2022-03-16","2024-12-11","36.7","1037.8","402.3","HIGH - fast-track manual review"
"RING0023","ACC0034767","2022-02-22","6","2022-03-31","2024-11-30","37.0","1012.9","495.9","HIGH - fast-track manual review"
"RING0113","ACC0036399","2022-01-19","5","2022-02-26","2023-09-22","38.0","610.6","388.5","HIGH - fast-track manual review"
"RING0155","ACC0028527","2022-04-01","6","2022-05-10","2024-10-20","39.7","933.3","348.6","HIGH - fast-track manual review"
"RING0034","ACC0000058","2022-11-19","5","2022-12-29","2024-11-14","39.9","726.6","294.6","HIGH - fast-track manual review"
"RING0127","ACC0049776","2022-01-05","5","2022-02-16","2024-07-09","41.3","916.0","446.5","HIGH - fast-track manual review"
"RING0173","ACC0019927","2022-01-28","8","2022-03-10","2024-09-22","41.7","968.2","614.2","HIGH - fast-track manual review"
"RING0047","ACC0020901","2022-02-19","8","2022-04-02","2024-12-18","41.8","1032.1","567.1","HIGH - fast-track manual review"
"RING0174","ACC0001094","2022-01-07","7","2022-02-21","2024-12-22","45.3","1080.2","662.8","HIGH - fast-track manual review"
"RING0159","ACC0021375","2022-06-30","3","2022-08-14","2024-01-17","45.5","565.6","261.1","HIGH - fast-track manual review"
"RING0107","ACC0024809","2022-09-20","7","2022-11-05","2024-12-03","46.8","804.9","428.3","HIGH - fast-track manual review"
"RING0179","ACC0002894","2022-01-15","10","2022-03-04","2024-12-25","47.4","1074.7","468.8","HIGH - fast-track manual review"
"RING0126","ACC0026156","2022-06-17","9","2022-08-07","2024-07-16","50.7","759.7","404.2","STANDARD - manual quarantine feasible"
"RING0157","ACC0008160","2022-07-28","2","2022-09-18","2023-04-29","51.2","274.1","162.7","STANDARD - manual quarantine feasible"
"RING0122","ACC0047345","2022-05-08","7","2022-06-28","2024-04-12","51.2","704.6","381.6","STANDARD - manual quarantine feasible"
"RING0163","ACC0033150","2022-03-31","10","2022-05-22","2024-11-08","51.6","953.2","460.9","STANDARD - manual quarantine feasible"
"RING0106","ACC0026216","2022-01-28","10","2022-03-21","2024-10-29","51.9","1004.8","444.2","STANDARD - manual quarantine feasible"
"RING0184","ACC0000440","2022-08-26","9","2022-10-22","2024-10-06","57.4","772.2","312.1","STANDARD - manual quarantine feasible"
"RING0152","ACC0002894","2022-01-15","6","2022-03-15","2024-12-19","58.4","1068.7","503.6","STANDARD - manual quarantine feasible"
"RING0096","ACC0000542","2022-01-18","7","2022-03-19","2024-03-04","59.8","775.4","511.6","STANDARD - manual quarantine feasible"
"RING0064","ACC0031409","2022-01-12","10","2022-03-15","2024-12-10","61.7","1063.5","563.2","STANDARD - manual quarantine feasible"
"RING0193","ACC0037194","2022-08-04","8","2022-10-06","2024-07-27","63.4","722.7","399.5","STANDARD - manual quarantine feasible"
"RING0020","ACC0031234","2022-02-01","8","2022-04-06","2024-02-01","63.9","729.5","352.8","STANDARD - manual quarantine feasible"
"RING0063","ACC0023787","2022-11-22","3","2023-01-25","2024-03-27","63.9","491.5","281.1","STANDARD - manual quarantine feasible"
"RING0146","ACC0048839","2022-01-26","8","2022-03-31","2024-07-09","64.0","895.2","440.7","STANDARD - manual quarantine feasible"
"RING0019","ACC0027204","2022-04-18","4","2022-06-22","2024-08-08","65.0","843.1","523.6","STANDARD - manual quarantine feasible"
"RING0132","ACC0038433","2022-07-09","6","2022-09-12","2024-09-29","65.4","812.8","389.7","STANDARD - manual quarantine feasible"
"RING0097","ACC0034806","2022-08-27","9","2022-10-31","2024-11-13","65.5","809.7","375.3","STANDARD - manual quarantine feasible"
"RING0158","ACC0014079","2022-07-02","10","2022-09-06","2024-10-12","66.2","832.5","490.1","STANDARD - manual quarantine feasible"
"RING0128","ACC0035897","2023-01-12","3","2023-03-20","2024-01-21","67.1","374.1","172.5","STANDARD - manual quarantine feasible"
"RING0175","ACC0005236","2022-07-14","2","2022-09-20","2023-01-20","67.9","190.2","129.1","STANDARD - manual quarantine feasible"
"RING0032","ACC0000224","2022-12-20","6","2023-02-27","2024-12-26","68.9","736.2","442.7","STANDARD - manual quarantine feasible"
"RING0052","ACC0005709","2022-05-08","3","2022-07-16","2024-12-25","69.4","961.5","629.6","STANDARD - manual quarantine feasible"
"RING0001","ACC0022213","2022-05-26","5","2022-08-04","2024-09-21","69.9","849.0","341.4","STANDARD - manual quarantine feasible"
"RING0156","ACC0004262","2022-02-14","7","2022-04-25","2024-12-16","70.6","1036.4","580.2","STANDARD - manual quarantine feasible"
"RING0162","ACC0041085","2022-11-12","2","2023-01-22","2023-09-22","70.7","313.7","192.2","STANDARD - manual quarantine feasible"
"RING0055","ACC0013492","2022-04-23","7","2022-07-03","2024-09-07","70.8","868.2","615.2","STANDARD - manual quarantine feasible"
"RING0199","ACC0000136","2022-01-13","4","2022-03-30","2024-09-06","75.8","966.3","537.5","STANDARD - manual quarantine feasible"
"RING0067","ACC0046497","2022-06-12","4","2022-08-28","2024-07-09","76.7","757.6","510.1","STANDARD - manual quarantine feasible"
"RING0084","ACC0006798","2022-02-05","10","2022-04-23","2024-09-18","77.0","956.2","480.3","STANDARD - manual quarantine feasible"
"RING0059","ACC0042100","2022-09-24","7","2022-12-10","2024-03-03","77.2","526.2","280.2","STANDARD - manual quarantine feasible"
"RING0056","ACC0008603","2022-03-17","10","2022-06-05","2024-09-30","79.3","927.9","540.8","STANDARD - manual quarantine feasible"
"RING0094","ACC0033613","2022-02-26","3","2022-05-17","2024-08-27","79.6","913.4","460.5","STANDARD - manual quarantine feasible"
"RING0051","ACC0004586","2022-03-06","4","2022-05-26","2024-11-24","81.0","994.3","424.0","STANDARD - manual quarantine feasible"
"RING0048","ACC0031168","2022-06-22","5","2022-09-12","2024-06-03","82.0","712.1","478.9","STANDARD - manual quarantine feasible"
"RING0069","ACC0013570","2022-10-08","10","2022-12-30","2024-09-30","82.3","722.9","458.1","STANDARD - manual quarantine feasible"
"RING0046","ACC0004097","2023-09-05","3","2023-11-28","2024-12-30","83.9","481.4","275.5","STANDARD - manual quarantine feasible"
"RING0112","ACC0039269","2022-10-25","2","2023-01-18","2023-07-09","84.7","256.7","170.7","STANDARD - manual quarantine feasible"
"RING0189","ACC0045322","2022-06-15","3","2022-09-08","2024-05-09","85.7","694.3","384.7","STANDARD - manual quarantine feasible"
"RING0181","ACC0014435","2022-01-27","9","2022-04-24","2024-09-20","86.5","967.2","434.0","STANDARD - manual quarantine feasible"
"RING0082","ACC0014316","2022-03-06","5","2022-06-04","2024-06-09","89.6","825.5","469.9","STANDARD - manual quarantine feasible"
"RING0139","ACC0034563","2022-12-17","2","2023-03-17","2024-04-24","90.5","494.3","292.4","STANDARD - manual quarantine feasible"
"RING0114","ACC0024045","2022-02-06","9","2022-05-09","2024-12-13","91.5","1041.2","632.2","STANDARD - manual quarantine feasible"
"RING0185","ACC0046270","2022-10-11","3","2023-01-11","2023-11-26","92.1","411.9","253.4","STANDARD - manual quarantine feasible"
"RING0133","ACC0009090","2022-01-05","5","2022-04-07","2024-12-15","92.4","1074.8","507.3","STANDARD - manual quarantine feasible"
"RING0043","ACC0014775","2022-01-25","6","2022-04-29","2024-10-07","94.3","985.9","573.5","STANDARD - manual quarantine feasible"
"RING0147","ACC0012964","2022-05-29","8","2022-09-01","2024-07-05","94.9","768.4","459.4","STANDARD - manual quarantine feasible"
"RING0042","ACC0010691","2022-01-10","6","2022-04-16","2024-07-06","95.9","908.4","537.4","STANDARD - manual quarantine feasible"
"RING0012","ACC0040787","2022-01-18","9","2022-04-27","2024-06-09","99.0","872.2","424.8","STANDARD - manual quarantine feasible"
"RING0038","ACC0047610","2022-05-15","3","2022-08-23","2024-08-12","100.0","819.4","532.7","STANDARD - manual quarantine feasible"
"RING0029","ACC0026177","2022-01-27","5","2022-05-08","2024-05-26","101.1","850.2","313.0","STANDARD - manual quarantine feasible"
"RING0186","ACC0042545","2022-04-08","5","2022-07-18","2024-12-29","101.2","996.0","474.6","STANDARD - manual quarantine feasible"
"RING0154","ACC0020159","2022-01-11","6","2022-04-23","2024-05-05","101.9","845.6","412.8","STANDARD - manual quarantine feasible"
"RING0165","ACC0043293","2022-02-03","10","2022-05-16","2024-11-08","102.0","1009.6","524.5","STANDARD - manual quarantine feasible"
"RING0005","ACC0003464","2022-03-31","8","2022-07-11","2024-12-26","102.2","1001.7","646.7","STANDARD - manual quarantine feasible"
"RING0098","ACC0046497","2022-06-12","9","2022-09-23","2024-09-05","102.7","816.3","439.1","STANDARD - manual quarantine feasible"
"RING0115","ACC0016021","2022-06-16","7","2022-09-29","2024-12-29","104.6","927.3","728.9","STANDARD - manual quarantine feasible"
"RING0015","ACC0025275","2022-04-22","9","2022-08-06","2024-10-09","105.4","900.8","517.3","STANDARD - manual quarantine feasible"
"RING0200","ACC0034673","2022-01-28","10","2022-05-17","2024-12-03","108.8","1040.2","442.0","STANDARD - manual quarantine feasible"
"RING0006","ACC0025807","2022-11-02","2","2023-02-19","2023-09-11","109.2","313.0","211.1","STANDARD - manual quarantine feasible"
