"ring_id","seed_account","ring_detected_date","downstream_accounts_activated","downstream_fraud_txns","preventable_loss_usd","loss_within_5day_response_window","loss_after_response_window_missed"
"RING0140","ACC0028527","2022-04-01","6","7","30552.11","0.00","30552.11"
"RING0182","ACC0010034","2022-06-20","10","13","25069.53","0.00","25069.53"
"RING0050","ACC0041112","2022-01-27","9","10","20269.23","0.00","20269.23"
"RING0106","ACC0026216","2022-01-28","10","21","19672.52","0.00","19672.52"
"RING0149","ACC0001510","2022-02-22","5","9","19113.83","0.00","19113.83"
"RING0190","ACC0020654","2022-01-13","9","15","18920.67","0.00","18920.67"
"RING0057","ACC0005567","2022-01-13","10","13","18569.31","0.00","18569.31"
"RING0023","ACC0034767","2022-02-22","6","6","17478.98","0.00","17478.98"
"RING0056","ACC0008603","2022-03-17","10","13","15890.20","0.00","15890.20"
"RING0025","ACC0030475","2022-03-15","8","9","15716.10","0.00","15716.10"
"RING0036","ACC0017833","2022-01-05","9","14","14661.31","0.00","14661.31"
"RING0145","ACC0033148","2022-09-04","9","13","13866.90","0.00","13866.90"
"RING0144","ACC0043639","2022-01-13","7","12","13701.64","0.00","13701.64"
"RING0058","ACC0001665","2022-01-15","9","11","13482.24","0.00","13482.24"
"RING0074","ACC0013004","2022-01-05","8","11","13201.50","0.00","13201.50"
"RING0163","ACC0033150","2022-03-31","10","13","12589.83","0.00","12589.83"
"RING0158","ACC0014079","2022-07-02","10","12","12405.94","0.00","12405.94"
"RING0064","ACC0031409","2022-01-12","10","14","12346.69","0.00","12346.69"
"RING0103","ACC0049628","2022-08-16","5","6","11960.53","0.00","11960.53"
"RING0117","ACC0039644","2022-02-06","2","2","11956.66","0.00","11956.66"
"RING0030","ACC0049096","2022-02-07","9","15","11648.58","0.00","11648.58"
"RING0126","ACC0026156","2022-06-17","9","10","11230.12","0.00","11230.12"
"RING0088","ACC0037378","2022-03-10","10","12","10887.72","0.00","10887.72"
"RING0160","ACC0016973","2022-02-12","7","10","10501.57","667.34","9834.23"
"RING0040","ACC0016058","2022-03-13","10","11","10379.74","0.00","10379.74"
"RING0181","ACC0014435","2022-01-27","9","11","10169.01","0.00","10169.01"
"RING0183","ACC0036401","2022-04-27","5","6","9981.84","0.00","9981.84"
"RING0084","ACC0006798","2022-02-05","10","11","9817.01","0.00","9817.01"
"RING0114","ACC0024045","2022-02-06","9","11","9680.94","0.00","9680.94"
