"account_id","ip_drift","velocity_drift","foreign_pct_drift","spend_ratio_drift","drift_signals_positive","pre_crime_verdict"
"ACC0020210","29.38","0.33","33.33","7.28",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0019286","23.51","0.86","14.29","1.79",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014320","22.64","0.64","42.86","2.72",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0004033","19.80","0.64","57.14","0.47",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0031721","19.05","0.67","66.67","0.71",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0041337","17.49","0.29","26.19","0.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0013207","17.48","1.10","16.67","8.75",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0038159","17.42","0.64","18.18","0.20",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0017068","17.06","0.25","62.50","0.13",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0011090","16.95","0.73","16.67","0.13",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0030063","16.50","0.19","26.19","1.36",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0037926","16.35","0.33","16.67","2.99",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0029792","16.08","0.10","33.33","0.30",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0011178","15.77","0.23","30.00","0.05",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0044196","15.76","0.80","40.00","0.43",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0013002","15.67","0.16","35.71","1.20",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034396","15.64","0.60","20.00","9.17",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0006184","15.62","0.01","8.33","1.05",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034731","15.58","0.20","20.00","1.77",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0048583","15.47","0.14","71.43","0.10",4,"🔴 Pre-crime drift detected — escalate for early review"
